Customer ID,Feedback Channel,Rating,Comment,Date
C43875,Survey,1,"Great quality, but took too long to arrive",2024-11-02
C46488,Survey,5,"Great quality, but took too long to arrive",2024-10-08
C98683,Survey,3,Pricey but worth it,2024-10-19
C82626,Social Media,4,Not happy with the product quality,2024-11-02
C97269,Email,1,Not sure if I would buy again,2024-10-21
C69548,Survey,1,Amazing experience,2024-10-14
C63615,Email,5,"Excellent support, will recommend",2024-10-18
C31175,Survey,5,Pricey but worth it,2024-10-26
C59246,Email,3,Pricey but worth it,2024-10-23
C55183,Survey,5,Could use more variety,2024-10-16
C94709,Email,2,Pricey but worth it,2024-10-16
C38775,Social Media,1,Delivery was delayed,2024-10-15
C73419,Survey,2,Amazing experience,2024-11-02
C93553,Social Media,4,Amazing experience,2024-10-25
C15402,Survey,2,Amazing experience,2024-10-07
C31684,Survey,5,Not sure if I would buy again,2024-10-29
C64211,Survey,5,Pricey but worth it,2024-10-14
C70126,Survey,3,Amazing experience,2024-10-09
C14335,Email,1,Could use more variety,2024-10-17
C12576,Survey,2,Could use more variety,2024-10-08
C87227,Email,2,The customer service was rude,2024-10-14
C70044,Survey,1,Not happy with the product quality,2024-10-26
C12981,Survey,4,The customer service was rude,2024-10-22
C44868,Social Media,2,Not happy with the product quality,2024-10-19
C33892,Email,4,"Great service, very satisfied!",2024-10-28
C29671,Survey,4,Not happy with the product quality,2024-10-16
C75150,Email,2,The customer service was rude,2024-10-24
C11803,Email,5,Pricey but worth it,2024-10-18
C50665,Email,2,Amazing experience,2024-10-09
C63756,Social Media,1,Could use more variety,2024-10-24
C57224,Email,3,Amazing experience,2024-10-13
C56800,Social Media,3,Pricey but worth it,2024-10-11
C43895,Email,4,The customer service was rude,2024-10-25
C26050,Survey,4,Pricey but worth it,2024-10-17
C41355,Survey,5,"Great quality, but took too long to arrive",2024-10-17
C11884,Social Media,2,Amazing experience,2024-10-12
C47521,Survey,5,Amazing experience,2024-10-13
C27828,Email,4,Not happy with the product quality,2024-10-24
C50112,Survey,1,"Excellent support, will recommend",2024-10-09
C63719,Email,5,Not sure if I would buy again,2024-10-27
C18620,Social Media,4,Not sure if I would buy again,2024-11-03
C27703,Social Media,4,Delivery was delayed,2024-10-12
C80380,Survey,3,Could use more variety,2024-11-01
C47053,Survey,5,"Excellent support, will recommend",2024-10-15
C13047,Survey,1,"Great service, very satisfied!",2024-10-21
C24255,Email,3,"Excellent support, will recommend",2024-10-25
C73123,Email,2,"Excellent support, will recommend",2024-10-26
C90083,Social Media,5,The customer service was rude,2024-10-11
C95099,Email,2,"Great service, very satisfied!",2024-10-18
C32115,Social Media,2,"Great service, very satisfied!",2024-10-09
C19817,Social Media,1,Amazing experience,2024-11-04
C35475,Social Media,1,"Excellent support, will recommend",2024-10-09
C62847,Survey,4,"Great quality, but took too long to arrive",2024-11-01
C95728,Email,3,Not happy with the product quality,2024-10-09
C59582,Social Media,5,Not happy with the product quality,2024-10-24
C12910,Social Media,2,Not happy with the product quality,2024-10-29
C13115,Email,2,"Great quality, but took too long to arrive",2024-11-05
C39086,Social Media,4,Amazing experience,2024-10-06
C65976,Social Media,4,"Great service, very satisfied!",2024-10-26
C59090,Survey,5,Not sure if I would buy again,2024-10-28
C13846,Social Media,4,Not happy with the product quality,2024-10-17
C39397,Email,4,Not happy with the product quality,2024-11-01
C76014,Email,2,Not sure if I would buy again,2024-10-21
C47986,Survey,5,The customer service was rude,2024-11-01
C35627,Email,3,Pricey but worth it,2024-10-13
C29001,Social Media,5,Could use more variety,2024-10-15
C89182,Email,1,Not happy with the product quality,2024-11-04
C58606,Survey,3,Not sure if I would buy again,2024-10-08
C52440,Social Media,5,The customer service was rude,2024-10-16
C61192,Survey,5,Could use more variety,2024-10-13
C61104,Email,1,Could use more variety,2024-11-03
C90744,Email,2,"Great service, very satisfied!",2024-10-30
C32653,Email,1,Not sure if I would buy again,2024-10-30
C61535,Email,2,"Great service, very satisfied!",2024-11-01
C55294,Survey,2,"Great service, very satisfied!",2024-10-25
C34514,Email,2,Amazing experience,2024-10-15
C63846,Social Media,4,Not sure if I would buy again,2024-10-30
C88119,Email,2,Not sure if I would buy again,2024-10-10
C28298,Email,5,The customer service was rude,2024-10-08
C64761,Email,3,"Great service, very satisfied!",2024-10-22
C95918,Email,1,Delivery was delayed,2024-10-21
C89762,Social Media,4,Delivery was delayed,2024-10-18
C13485,Survey,1,Pricey but worth it,2024-10-27
C77431,Social Media,5,"Great service, very satisfied!",2024-10-25
C44208,Email,4,"Great quality, but took too long to arrive",2024-10-17
C29485,Survey,1,Not sure if I would buy again,2024-10-23
C76187,Social Media,3,Delivery was delayed,2024-11-03
C74313,Survey,5,The customer service was rude,2024-10-19
C26008,Social Media,3,"Great quality, but took too long to arrive",2024-10-31
C51724,Survey,3,Amazing experience,2024-11-01
C18803,Email,1,Pricey but worth it,2024-10-12
C55354,Survey,1,Not happy with the product quality,2024-10-06
C87704,Social Media,2,Could use more variety,2024-10-25
C65050,Email,1,Could use more variety,2024-10-31
C42805,Email,3,Not sure if I would buy again,2024-10-27
C60399,Survey,1,"Great quality, but took too long to arrive",2024-10-28
C38381,Survey,4,Not happy with the product quality,2024-10-20
C56688,Social Media,3,Amazing experience,2024-10-10
C80180,Survey,2,Amazing experience,2024-10-27
C78789,Survey,5,Could use more variety,2024-10-22
C12039,Survey,4,"Excellent support, will recommend",2024-10-20
C39705,Email,2,The customer service was rude,2024-10-28
C47371,Email,5,"Excellent support, will recommend",2024-11-02
C27348,Survey,2,Pricey but worth it,2024-10-10
C19895,Email,1,Not sure if I would buy again,2024-10-31
C14916,Survey,2,"Excellent support, will recommend",2024-11-03
C81655,Survey,3,"Excellent support, will recommend",2024-10-19
C51458,Social Media,1,Could use more variety,2024-10-21
C58503,Email,2,Could use more variety,2024-10-26
C67227,Social Media,1,Amazing experience,2024-10-06
C59872,Email,5,The customer service was rude,2024-10-29
C18959,Email,3,"Excellent support, will recommend",2024-10-27
C41644,Email,1,"Great service, very satisfied!",2024-10-18
C69894,Social Media,5,"Excellent support, will recommend",2024-10-18
C87113,Social Media,3,"Great quality, but took too long to arrive",2024-11-03
C22363,Survey,5,Not sure if I would buy again,2024-10-27
C57721,Social Media,3,Not happy with the product quality,2024-10-10
C62496,Social Media,5,The customer service was rude,2024-10-30
C65347,Email,1,"Great quality, but took too long to arrive",2024-10-31
C41706,Survey,1,Not sure if I would buy again,2024-10-15
C78355,Email,5,Amazing experience,2024-10-18
C28017,Email,4,Pricey but worth it,2024-10-09
C72090,Email,4,Could use more variety,2024-10-21
C79216,Social Media,5,The customer service was rude,2024-10-07
C16514,Social Media,5,The customer service was rude,2024-10-17
C98452,Survey,2,The customer service was rude,2024-10-10
C38190,Survey,2,Not happy with the product quality,2024-10-22
C75221,Email,5,Amazing experience,2024-10-13
C34567,Survey,1,"Excellent support, will recommend",2024-10-19
C99938,Social Media,5,The customer service was rude,2024-10-17
C65510,Social Media,3,Not sure if I would buy again,2024-10-26
C12802,Email,5,"Great quality, but took too long to arrive",2024-10-20
C30300,Email,4,The customer service was rude,2024-10-30
C73947,Email,5,Not sure if I would buy again,2024-10-24
C95469,Email,3,The customer service was rude,2024-11-03
C45107,Survey,1,"Great service, very satisfied!",2024-10-08
C76086,Email,3,The customer service was rude,2024-11-02
C34750,Survey,2,Not happy with the product quality,2024-10-29
C55826,Survey,2,The customer service was rude,2024-10-14
C29232,Social Media,5,The customer service was rude,2024-11-01
C51183,Social Media,1,Pricey but worth it,2024-10-24
C84785,Email,3,Delivery was delayed,2024-10-15
C89615,Social Media,3,Pricey but worth it,2024-10-13
C18614,Social Media,2,Could use more variety,2024-10-21
C41358,Survey,1,Not sure if I would buy again,2024-10-14
C82405,Survey,1,"Excellent support, will recommend",2024-10-11
C48211,Social Media,1,"Excellent support, will recommend",2024-10-21
C19565,Social Media,2,"Great quality, but took too long to arrive",2024-10-07
C28134,Survey,2,"Excellent support, will recommend",2024-10-19
C36773,Email,1,"Great quality, but took too long to arrive",2024-10-12
C96747,Email,1,Could use more variety,2024-10-14
C24856,Email,4,Amazing experience,2024-10-20
C27933,Email,3,Could use more variety,2024-11-01
C73574,Survey,2,Amazing experience,2024-11-02
C27359,Survey,1,"Excellent support, will recommend",2024-10-22
C47728,Email,4,Not sure if I would buy again,2024-10-10
C67276,Survey,4,The customer service was rude,2024-10-08
C42179,Social Media,2,Pricey but worth it,2024-11-03
C16986,Social Media,2,The customer service was rude,2024-10-29
C83004,Survey,4,Pricey but worth it,2024-10-20
C64110,Social Media,2,Amazing experience,2024-10-11
C51813,Email,4,"Great quality, but took too long to arrive",2024-11-04
C22076,Survey,1,Delivery was delayed,2024-10-09
C57696,Social Media,3,Pricey but worth it,2024-10-18
C19889,Social Media,1,Pricey but worth it,2024-10-31
C31648,Email,5,Amazing experience,2024-11-05
C28101,Survey,5,Amazing experience,2024-10-12
C47952,Social Media,1,Not sure if I would buy again,2024-10-21
C60034,Social Media,4,Not happy with the product quality,2024-10-17
C31020,Survey,4,The customer service was rude,2024-10-25
C90420,Email,5,Amazing experience,2024-10-15
C69337,Social Media,3,The customer service was rude,2024-10-08
C26909,Social Media,2,Delivery was delayed,2024-10-30
C67765,Survey,4,Not sure if I would buy again,2024-10-31
C73726,Email,5,Not happy with the product quality,2024-10-06
C30279,Survey,2,Pricey but worth it,2024-10-12
C20920,Email,5,Could use more variety,2024-10-11
C40947,Survey,4,Not sure if I would buy again,2024-10-20
C26608,Social Media,5,The customer service was rude,2024-10-18
C82421,Email,2,Delivery was delayed,2024-10-22
C63373,Social Media,1,Pricey but worth it,2024-10-15
C93536,Survey,2,Amazing experience,2024-11-01
C62421,Survey,1,Could use more variety,2024-10-14
C41904,Email,2,The customer service was rude,2024-10-17
C30322,Email,4,Delivery was delayed,2024-10-29
C46236,Email,5,"Great quality, but took too long to arrive",2024-10-15
C34439,Survey,2,"Great quality, but took too long to arrive",2024-10-30
C55359,Email,4,Delivery was delayed,2024-10-30
C62006,Survey,4,Amazing experience,2024-10-12
C40210,Survey,4,Not sure if I would buy again,2024-11-02
C37665,Social Media,1,Amazing experience,2024-10-10
C11827,Email,2,The customer service was rude,2024-10-29
C17197,Survey,3,"Great quality, but took too long to arrive",2024-10-17
C62224,Email,1,Not happy with the product quality,2024-10-15
C94781,Social Media,5,Amazing experience,2024-10-22
C92388,Social Media,4,Pricey but worth it,2024-10-15
C30157,Email,1,"Excellent support, will recommend",2024-10-29
C59742,Social Media,2,Not happy with the product quality,2024-10-06
C98764,Social Media,1,"Excellent support, will recommend",2024-10-12
C75393,Survey,5,The customer service was rude,2024-10-06
